FILE	FLAG	POST	VALUE	SOURCE	DESTINATION
Holy-Bible---Myanmar---Burmese-Common-Bible				http://ebible.org/pdf/mya/mya_prt.pdf	Holy-Bible---Myanmar---Burmese-Common-Bible---Source-Edition.pdf
Holy-Bible---Myanmar---Burmese-Common-Bible				http://ebible.org/Scriptures/mya_vpl.zip	Holy-Bible---Myanmar---Burmese-Common-Bible---Source-Edition.VPL.zip
Holy-Bible---Myanmar---Myanmar-Burmese-Judson				https://eBible.org/sword/zip/myajvb1840eb.zip	Holy-Bible---Myanmar---Myanmar-Burmese-Judson---Source-Edition.SWORD.zip
Holy-Bible---Myanmar---Myanmar-Burmese-Judson				http://ebible.org/epub/myajvb.epub	Holy-Bible---Myanmar---Myanmar-Burmese-Judson---Source-Edition.epub
Holy-Bible---Myanmar---Myanmar-Burmese-Judson				http://ebible.org/pdf/myajvb/myajvb_prt.pdf	Holy-Bible---Myanmar---Myanmar-Burmese-Judson---Source-Edition.pdf
Holy-Bible---Myanmar---Myanmar-Burmese-Judson				./aion_source/Holy-Bible---Myanmar---Myanmar-Burmese-Judson.unbound.zip	Holy-Bible---Myanmar---Myanmar-Burmese-Judson---Source-Edition.UNBOUND.zip
Holy-Bible---Ndebele---Ndebele-Bible	SWORD			http://crosswire.org/ftpmirror/pub/sword/packages/rawzip/Ndebele.zip	Holy-Bible---Ndebele---Ndebele-Bible---Source-Edition.SWORD.zip
Holy-Bible---Ndengereko---Ndengereko-Bible				https://eBible.org/sword/zip/ndgeb.zip	Holy-Bible---Ndengereko---Ndengereko-Bible---Source-Edition.SWORD.zip
Holy-Bible---Ndengereko---Ndengereko-Bible				http://ebible.org/epub/ndg.epub	Holy-Bible---Ndengereko---Ndengereko-Bible---Source-Edition.epub
Holy-Bible---Ndengereko---Ndengereko-Bible				http://ebible.org/pdf/ndg/ndg_prt.pdf	Holy-Bible---Ndengereko---Ndengereko-Bible---Source-Edition.pdf
Holy-Bible---Ndengereko---Ndengereko-Bible				http://ebible.org/Scriptures/ndg_vpl.zip	Holy-Bible---Ndengereko---Ndengereko-Bible---Source-Edition.VPL.zip
Holy-Bible---Nepali---Nepali-Bible				https://eBible.org/sword/zip/npiulb2019eb.zip	Holy-Bible---Nepali---Nepali-Bible---Source-Edition.SWORD.zip
Holy-Bible---Nepali---Nepali-Bible				http://ebible.org/epub/npiulb.epub	Holy-Bible---Nepali---Nepali-Bible---Source-Edition.epub
Holy-Bible---Nepali---Nepali-Bible				http://ebible.org/pdf/npiulb/npiulb_prt.pdf	Holy-Bible---Nepali---Nepali-Bible---Source-Edition.pdf
Holy-Bible---Nepali---Nepali-Bible				http://ebible.org/Scriptures/npiulb_vpl.zip	Holy-Bible---Nepali---Nepali-Bible---Source-Edition.VPL.zip
Holy-Bible---Norwegian---Norwegian-Bible	SWORD			./aion_source/Norsk.zip	Holy-Bible---Norwegian---Norwegian-Bible---Source-Edition.SWORD.zip
Holy-Bible---Norwegian---Norwegian-Student-Bible	SWORD			http://crosswire.org/ftpmirror/pub/sword/packages/rawzip/NorSMB.zip	Holy-Bible---Norwegian---Norwegian-Student-Bible---Source-Edition.SWORD.zip
Holy-Bible---Oriya---Oriya-Bible				http://ebible.org/sword/zip/ory2017eb.zip	Holy-Bible---Oriya---Oriya-Bible---Source-Edition.SWORD.zip
Holy-Bible---Oriya---Oriya-Bible				http://ebible.org/epub/ory.epub	Holy-Bible---Oriya---Oriya-Bible---Source-Edition.epub
Holy-Bible---Oriya---Oriya-Bible				http://ebible.org/pdf/ory/ory_prt.pdf	Holy-Bible---Oriya---Oriya-Bible---Source-Edition.pdf
Holy-Bible---Oriya---Oriya-Bible				http://ebible.org/Scriptures/ory_vpl.zip	Holy-Bible---Oriya---Oriya-Bible---Source-Edition.VPL.zip
Holy-Bible---Panjabi---Punjabi-Bible				http://ebible.org/sword/zip/pan2017eb.zip	Holy-Bible---Panjabi---Punjabi-Bible---Source-Edition.SWORD.zip
Holy-Bible---Panjabi---Punjabi-Bible				http://ebible.org/epub/pan.epub	Holy-Bible---Panjabi---Punjabi-Bible---Source-Edition.epub
Holy-Bible---Panjabi---Punjabi-Bible				http://ebible.org/pdf/pan/pan_prt.pdf	Holy-Bible---Panjabi---Punjabi-Bible---Source-Edition.pdf
