# File Name: TALLY.txt
# File Size: 22407       
# File Date: 09/05/2024 15:09:08
# File Purpose: Supporting resource for the Aionian Bible project
# File Location: https://resources.AionianBible.org
# File Copyright: Creative Commons Attribution 4.0 International, 2018-2024
# File Generator: ABCMS (alpha)
# File Accuracy: Contact publisher with corrections to file format or content
# Publisher Name: Nainoia Inc
# Publisher Contact: https://www.AionianBible.org/Publisher
# Publisher Mission: https://www.AionianBible.org/Preface
# Publisher Website: https://NAINOIA-INC.signedon.net
# Publisher Facebook: https://www.Facebook.com/AionianBible
#
BIBLE	AIONIAN	STANDARD	SOURCE
Holy-Bible---French---French-Crampon-Bible-New	31100	31100	31456
Holy-Bible---French---French-Darby-Bible	31099	31099	31171
Holy-Bible---French---French-Khan-Bible	23142	23142	23210
Holy-Bible---French---French-LXX	23005	23005	23149
Holy-Bible---French---French-Louis-Segond-1910-Bible	31100	31100	31173
Holy-Bible---French---French-Martin	31102	31102	31109
Holy-Bible---French---French-Oltramare-Bible	7955	7955	7955
Holy-Bible---French---French-Ostervald-Bible	31101	31101	31108
Holy-Bible---French---French-Perret-Gentil-Rilliet	31102	31102	31102
Holy-Bible---French---French-Stapfer-Bible	7957	7957	7957
Holy-Bible---French---French-Synodale-Bible	10418	10418	10418
Holy-Bible---French---Vulgate-Glaire	31078	31078	31444
Holy-Bible---Gamotso---Gamo	7832	7832	7834
Holy-Bible---Gata---Gata-Didayi-Bible	7957	7957	7959
Holy-Bible---German---German-Albrecht	10388	10388	10396
Holy-Bible---German---German-Elberfelder-1871	31101	31101	31101
Holy-Bible---German---German-Elberfelder-1905	31101	31101	31102
Holy-Bible---German---German-Katholiche-Riessler	31096	31096	31164
Holy-Bible---German---German-Kautzsch-Weizsacker	31100	31100	31170
Holy-Bible---German---German-Luther-Bible-1545	30413	30413	30481
Holy-Bible---German---German-Luther-Bible-1912	31102	31102	31102
Holy-Bible---German---German-Menge	31096	31096	31169
Holy-Bible---German---German-Reinhardt-Bible	3774	3774	3774
Holy-Bible---German---German-Schlachter	31101	31101	31102
Holy-Bible---German---German-Tafel-Bible	26076	26076	26143
Holy-Bible---Gikuyu---Kikuyu	31101	31101	31101
Holy-Bible---Gofa---Gofa-Bible	7930	7930	7932
Holy-Bible---Gourma---Gourma-Bible	7957	7957	7959
Holy-Bible---Gourmantche---Gourmantche-Bible	7943	7943	7945
Holy-Bible---Greek---Greek-Antoniades	7956	7956	7956
Holy-Bible---Greek---Greek-Byzantine	7956	7956	7959
Holy-Bible---Greek---Greek-Byzantine-Majority	7953	7953	7953
Holy-Bible---Greek---Greek-LXX-Septuagint	22821	22821	22964
Holy-Bible---Greek---Greek-Majority-Text	7953	7953	7957
Holy-Bible---Greek---Greek-Modern-Kathareuousa	31102	31102	31102
Holy-Bible---Greek---Greek-Nestle	7942	7942	7944
Holy-Bible---Greek---Greek-Pickering-Family-35	7953	7953	7953
Holy-Bible---Greek---Greek-SBL	7939	7939	7941
Holy-Bible---Greek---Greek-STEPBible	7957	7957	7957
Holy-Bible---Greek---Greek-Scrivener	7957	7957	7957
Holy-Bible---Greek---Greek-Statistical-Restoration	7914	7914	7916
Holy-Bible---Greek---Greek-Stephanus	7956	7956	7957
Holy-Bible---Greek---Greek-TR-Stephanus-Scrivener	7956	7956	7957
Holy-Bible---Greek---Greek-Textus-Receptus	7957	7957	7959
Holy-Bible---Greek---Greek-Textus-Receptus-Boyd	7957	7957	7957
Holy-Bible---Greek---Greek-Textus-Receptus-Elzevir	7957	7957	7957
Holy-Bible---Greek---Greek-Tischendorf	7937	7937	7940
Holy-Bible---Greek---Greek-Tregelles	7946	7946	7952
Holy-Bible---Greek---Greek-Westcott-Hort	7941	7941	7943
Holy-Bible---Greek---Text-Critical	7953	7953	7953
Holy-Bible---Gujarati---Gujarati-Bible	31102	31102	31104
Holy-Bible---Haitian---Haitian-Creole-Bible	31102	31102	31102
Holy-Bible---Haitian---Haitian-Creole-Smith	31102	31102	31103
Holy-Bible---Haryanvi---Haryanvi-Bible	7923	7923	7925
Holy-Bible---Hausa---Contemporary	31086	31086	31087
Holy-Bible---Hausa---Hausa-Bible	7957	7957	7959
Holy-Bible---Hawaiian---Hawaiian-Bible-1868	31102	31102	31102
Holy-Bible---Hebrew---Hebrew-Aleppo-Codex	23121	23121	23190
Holy-Bible---Hebrew---Hebrew-Aleppo-Miqra-Mesorah	23142	23142	23213
Holy-Bible---Hebrew---Hebrew-Masoretic-OT	23143	23143	23213
Holy-Bible---Hebrew---Hebrew-STEPBible	23145	23145	23145
Holy-Bible---Hebrew---Hebrew-Westminster-Leningrad	23143	23143	23213
