# File Name: UNTRANSLATECOUNT.txt
# File Size: 22098       
# File Date: 10/18/2022 09:56:37
# File Purpose: Supporting resource for the Aionian Bible project
# File Location: https://resources.AionianBible.org
# File Copyright: Creative Commons Attribution No Derivative Works 4.0, 2018-2022
# File Generator: ABCMS (alpha)
# File Accuracy: Contact publisher with corrections to file format or content
# Publisher Name: Nainoia Inc
# Publisher Contact: https://www.AionianBible.org/Publisher
# Publisher Mission: https://www.AionianBible.org/Preface
# Publisher Website: https://NAINOIA-INC.signedon.net
# Publisher Facebook: https://www.Facebook.com/AionianBible
#
BIBLE	HELL_ALL	HELL_OUT	SHEOL	GEHENNA	HADES	ABYSS	TARTARUS	LOF	AION	AIONIAN	AION-2	AIDIOS	AION_OUT	CUSTOM	OUT	IN	VERSE_DO	VERSE_OK	VERSE_SK	VERSE_NO	VERSE_ER	VERSE_CK
Holy-Bible---Portuguese---Almeida-NewOrthography	53	0	63	12	11	9	1	5	94	64	10	2	1	0	1	271	263	263	0	0	0	0
Holy-Bible---Portuguese---Biblia-Livre	13	0	63	12	11	9	1	5	94	64	10	2	0	1	0	271	264	263	0	0	0	1
Holy-Bible---Portuguese---Portuguese-Trans-Trans	34	19	0	12	11	9	1	5	94	64	10	2	0	1	19	208	201	200	0	63	0	1
Holy-Bible---Romani-Vlax---Arli-Luke	0	0	0	1	2	1	0	0	6	3	2	0	0	0	0	15	14	14	0	249	0	0
Holy-Bible---Romani-Vlax---Chergash-Luke	0	0	0	1	2	1	0	0	6	3	2	0	0	0	0	15	14	14	0	249	0	0
Holy-Bible---Romani-Vlax---Gurbet-Luke	0	0	0	1	2	1	0	0	6	3	2	0	0	0	0	15	14	14	0	249	0	0
Holy-Bible---Romanian---Bayash-Luke	0	0	0	1	2	1	0	0	6	3	2	0	0	0	0	15	14	14	0	249	0	0
Holy-Bible---Romanian---Ludari-Luke	0	0	0	1	2	1	0	0	6	3	2	0	0	0	0	15	14	14	0	249	0	0
Holy-Bible---Rote-Dela---Rote-Dela-Bible	0	0	4	12	11	9	1	5	93	63	12	2	0	2	0	212	204	203	1	59	0	1
Holy-Bible---Russian---Russian-Synodal-Translation	104	7	63	12	11	9	1	5	94	64	10	2	0	6	7	271	269	263	0	0	0	6
Holy-Bible---Safwa---Safwa-Bible	0	0	0	12	11	9	1	5	94	64	10	2	0	1	0	208	201	200	0	63	0	1
